company_id,company_name,current_status,industry_category,country,sector,size,assessment_year,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,certification_cycle,year_first_certified,PC 1,PC 2,PC 3,Cluster
0013b00001o4OFOAA2,Firma,Certified,Business Products & Services,Spain,Service With Minor Environmental Footprint,10-49,2020,80.2,17.8,7.4,10.9,17.7,26.2,1,2021,-0.7694249718303219,-3.3899507252299688,0.41612978070323126,1
0013b00001qDrOwAAK,Barkley,Certified,Business Products & Services,United States,Service With Minor Environmental Footprint,250-999,2019,93.4,25.5,9.4,12.3,11.3,34.7,1,2021,-0.5052340111809754,-2.0079795237158367,-0.36454664552504945,1
0013b00001qFoUdAAK,Fusion Associates,Certified,Business Products & Services,United Kingdom,Service With Minor Environmental Footprint,1-9,2020,91.8,13.7,5.5,17.2,15.9,39.2,1,2020,-0.9906739302938549,-3.4860309557538183,-0.43102529152743857,1
0013b00001o4cHjAAI,Weathersolve Structures Inc.,Certified,Business Products & Services,Canada,Service With Significant Environmental Footprint,10-49,2019,85.7,20.6,2.9,18.2,15.3,28.5,1,2019,0.719606605713039,-2.347839635585882,-1.1103059087396618,0
0013b00001onic8AAA,Locus Agricultural Solutions,Certified,Agriculture,United States,Manufacturing,10-49,2019,81.0,16.7,2.7,31.5,8.2,21.7,1,2019,2.913821439035115,-1.3706768822069275,-0.9055626659102047,0
0013b00001ooNfjAAE,Rose Buddha,Certified,Consumer Products & Services,Canada,Manufacturing,1-9,2019,90.9,27.6,3.5,35.1,5.6,19.0,1,2020,3.016570924637483,-1.3336326031879016,0.33434359969681493,0
0013b00001ooRayAAE,Compa�Ia Salus,Certified,Consumer Products & Services,Uruguay,Manufacturing,250-999,2019,81.1,19.1,3.8,21.6,9.6,26.8,1,2020,3.2208324476120254,-2.0890760336921383,0.0750524024241937,0
001C000001JeS3vIAF,Republic Of Everyone,Certified,Business Products & Services,Australia,Service With Minor Environmental Footprint,10-49,2017,84.2,13.8,19.2,14.6,10.7,25.9,1,2015,-1.232759310741595,-1.8484008453852354,-0.1850038638078671,1
001C000001JeS3vIAF,Republic Of Everyone,Certified,Business Products & Services,Australia,Service With Minor Environmental Footprint,10-49,2015,90.1,11.4,22.1,14.1,9.5,33.0,2,2015,-1.5574139777580542,-1.1018948978749716,-0.9099233357072667,1
001C000001iC9p6IAC,"Todo Works Co., Ltd",Certified,Health & Human Services,Korea (Republic Of),Manufacturing,10-49,2019,80.4,19.0,34.3,3.1,9.1,14.7,1,2019,0.4364947070557559,-2.269761842641478,-0.016871398227115888,1
0013b00001nEb5ZAAS,E Co.,Certified,Business Products & Services,United Kingdom,Service With Minor Environmental Footprint,10-49,2019,105.0,22.5,31.1,3.3,18.0,29.9,1,2019,-1.8574776620545372,-2.8628724068983096,-0.18395349124857685,1
001C0000012GgQNIA0,Tonka Sa,Certified,Building,Argentina,Manufacturing,50-249,2016,90.3,35.7,0.0,23.8,11.3,18.2,1,2014,2.414235890095339,-0.32137111465424684,-0.5955992086958741,0
001C0000012GgQNIA0,Tonka Sa,Certified,Building,Argentina,Manufacturing,50-249,2014,91.9,42.8,0.0,21.6,7.7,19.8,2,2014,2.2749716479724373,0.5463921982322988,-0.7737693658036175,0
001C000001cBAZgIAO,Goodkind Co,Certified,Consumer Products & Services,United States,Manufacturing,1-9,2017,88.3,52.7,0.0,10.9,9.2,15.5,1,2018,2.272893730071876,0.10614543368464754,0.8476006794040841,0
001C000001VagS9IAJ,Aglh/ Las Quinas,Certified,Agriculture,Argentina,Manufacturing,1-9,2017,96.2,23.9,0.0,41.3,8.1,22.9,1,2017,3.2589016820157477,-1.0771272781751968,-0.16920463652157558,0
0013b00001p0vmeAAA,Joseph Homes,Certified,Building,United Kingdom,Service With Significant Environmental Footprint,10-49,2019,86.0,15.5,0.7,30.8,13.5,25.3,1,2020,1.885855623363132,-2.8812465740249973,-1.636005252048142,0
001C000000v9hcjIAA,Recollective Consulting,Certified,Building,Canada,Service With Minor Environmental Footprint,1-9,2017,116.2,33.6,0.0,36.4,12.2,34.0,1,2013,0.16963914182146247,-0.4629766792941276,-1.3864364465796908,1
001C000000v9hcjIAA,Recollective Consulting,Certified,Building,Canada,Service With Minor Environmental Footprint,10-49,2015,121.6,47.2,0.0,40.5,8.5,25.4,2,2013,0.45328895498280164,0.6309195530571259,-1.4367732745153468,0
001C000000v9hcjIAA,Recollective Consulting,Certified,Building,Canada,Service With Minor Environmental Footprint,10-49,2012,113.0,23.8,34.3,47.0,11.2,31.0,3,2013,-0.5361962813973058,1.3540459529075393,-2.5925038626798718,1
0013b00001ooFegAAE,Laude The Label,Certified,Consumer Products & Services,United States,Wholesale/Retail,1-9,2019,81.4,41.2,3.4,12.7,6.8,17.2,1,2019,2.3727280739257943,-0.3498575688416806,1.3727975222064523,0
0013b00001qEsbzAAC,Oddbox,Certified,Consumer Products & Services,United Kingdom,Wholesale/Retail,10-49,2019,93.1,48.2,3.7,13.3,13.8,13.9,1,2020,2.3792872702986765,-1.6367432385042915,1.4399546168658188,0
001C000001mWFt6IAG,Sycomore Asset Management,Certified,Financial Services,France,Service With Minor Environmental Footprint,50-249,2019,90.1,10.0,36.3,4.4,11.6,27.6,1,2020,-1.5719837522786786,-2.9389414039502153,-0.6232036731015969,1
001C000001Q4ZFWIA3,B Gift Spa,Certified,Business Products & Services,Chile,Wholesale/Retail,Unknown,2017,80.0,57.0,1.1,7.4,14.5,0.0,1,2017,0.8549236222818107,0.042778349770837,3.877391637982987,0
0013b00001p3VXFAA2,Amamus Ltd,Certified,Consumer Products & Services,United Kingdom,Wholesale/Retail,1-9,2019,83.1,14.9,3.4,21.1,17.0,26.4,1,2020,2.148321604410196,-2.1840451654811956,0.392080501053079,0
0013b00001rFOi3AAG,Make Your Words Work,Certified,Business Products & Services,United Kingdom,Service With Minor Environmental Footprint,1-9,2020,81.4,24.2,4.5,13.4,13.7,25.5,1,2020,-0.8266724459108714,-3.310309653067611,0.5513755716354279,1
0013b00001qFcFaAAK,Acbc,Certified,Consumer Products & Services,Italy,Wholesale/Retail,10-49,2020,86.3,18.3,4.8,23.5,15.6,24.0,1,2021,2.809115504709825,-2.3299437775763687,0.05623380018895007,0
001C000001KNDx1IAH,Ethique,Certified,Consumer Products & Services,New Zealand,Manufacturing,1-9,2017,117.1,56.0,0.0,25.2,10.6,25.3,1,2015,2.5445491427600677,-0.35619104291646253,0.3617713622374718,0
001C000001KNDx1IAH,Ethique,Certified,Consumer Products & Services,New Zealand,Manufacturing,1-9,2015,105.7,41.8,0.0,32.6,6.6,24.6,2,2015,2.66035193867547,0.2104729618020218,-0.24549191699523645,0
0013b00001rGlkZAAS,Rootenergy,Certified,Financial Services,Korea (Republic Of),Service With Minor Environmental Footprint,10-49,2020,93.8,29.7,28.7,3.8,10.2,21.3,1,2020,-1.5750687575093671,-2.525373221092998,0.033001142348742574,1
0013b00001nEgvAAAS,Datadrivenfinance As And Ddfinance Kenya,Certified,Business Products & Services,Norway,Service With Minor Environmental Footprint,1-9,2019,82.5,18.6,32.3,0.2,10.9,20.3,1,2019,-1.6203853284223366,-2.842875029150171,0.9975312326501731,1
001C000001R2LU9IAN,Hiptipico,Certified,Retail,Guatemala,Wholesale/Retail,1-9,2016,99.5,49.8,0.0,17.8,8.0,23.9,1,2016,2.6599562298416393,0.46371727818146563,1.7229790555642843,0
001C000001MNPIcIAP,Revision Energy Inc,Certified,Energy & Environmental Services,United States,Service With Significant Environmental Footprint,50-249,2018,125.9,22.3,0.0,34.6,14.0,54.9,1,2015,1.741975804249725,-0.3520405829488054,-3.74740318740781,0
001C000001MNPIcIAP,Revision Energy Inc,Certified,Energy & Environmental Services,United States,Service With Significant Environmental Footprint,50-249,2015,94.4,19.5,0.0,38.7,6.9,29.3,2,2015,2.113051306385599,0.6484832597758446,-2.8531146464483865,0
001C000001R1BtvIAF,"Skelly Lives, Inc. Dba Kozm",Certified,Consumer Products & Services,United States,Wholesale/Retail,Unknown,2017,89.9,49.1,0.0,28.3,12.5,0.0,1,2017,2.611440558190685,1.396611015469792,3.203834625987451,0
0013b00001p0xmeAAA,Eem Ehs Management,Certified,Business Products & Services,Canada,Service With Minor Environmental Footprint,1-9,2019,82.7,17.4,19.0,7.7,4.9,33.4,1,2020,-1.1100439055065308,-2.6688693976420024,0.13409467255872376,1
001C000001Yrm3eIAB,Borealis Geopower Inc.,Certified,Energy & Environmental Services,Canada,Service With Minor Environmental Footprint,1-9,2019,93.7,18.0,2.4,32.1,20.8,20.3,1,2017,0.27850248130484095,-1.641620929707574,-0.9806451692967529,1
001C000001Yrm3eIAB,Borealis Geopower Inc.,Certified,Energy & Environmental Services,Canada,Service With Minor Environmental Footprint,1-9,2017,85.0,25.9,0.0,28.6,10.8,19.7,2,2017,0.4173705621168582,-0.8737505907804376,-0.8440696719215491,0
0013b00001o3uLpAAI,Human After All,Certified,Business Products & Services,United Kingdom,Service With Minor Environmental Footprint,10-49,2019,93.2,17.3,11.7,12.3,17.8,34.1,1,2020,-1.1379741454886654,-3.28929372862162,-0.5556935289476744,1
001C000001ckW6WIAU,Carla Fern�Ndez | Comercializadora De Dise�O Flora Sapi De Cv,Certified,Consumer Products & Services,Mexico,Wholesale/Retail,10-49,2017,81.9,31.9,6.6,4.5,14.9,24.0,1,2018,1.8798779944551165,-1.0977668911741614,0.26537509639604406,0
0013b00001nEqB6AAK,"Invepat Go, S.L.",Certified,Business Products & Services,Spain,Service With Minor Environmental Footprint,1-9,2019,102.4,29.3,38.2,4.3,9.7,20.7,1,2020,-1.6751589663711643,-2.357490654309839,1.5126467955790668,1
0018000000fsSQlAAM,Runa,Certified,Agriculture,United States,Wholesale/Retail,50-249,2014,108.9,43.5,0.0,35.9,13.0,16.5,2,2010,2.392035348695654,2.420576751319273,-0.740215524284609,0
001C000000wFMoDIAW,Gulliver,Certified,Business Products & Services,Chile,Service With Minor Environmental Footprint,Unknown,2017,88.8,19.6,50.0,4.8,14.4,0.0,1,2014,-2.200000756939113,-0.23098186695100215,2.741806308595566,1
001C000000wFMoDIAW,Gulliver,Certified,Business Products & Services,Chile,Service With Minor Environmental Footprint,1-9,2013,86.5,12.7,45.0,5.9,3.3,19.3,2,2014,-2.136181978453017,-0.0009536152005258728,0.01844754330348133,1
001C000001afPB3IAM,Brew Dr. Kombucha,Certified,Consumer Products & Services,United States,Manufacturing,50-249,2018,91.3,21.5,0.0,35.1,16.4,18.1,1,2018,2.8988703260310045,-0.201867916976314,-0.7291098095064857,0
001C000001SILdrIAH,Dictuc S.A,Certified,Business Products & Services,Chile,Service With Minor Environmental Footprint,250-999,2018,102.1,40.8,3.6,12.5,20.5,24.5,1,2016,-0.6443944519297534,-1.4338639976216947,0.1362051800782674,1
001C000001SILdrIAH,Dictuc S.A,Certified,Business Products & Services,Chile,Service With Minor Environmental Footprint,250-999,2016,95.7,48.1,0.0,10.1,13.3,24.1,2,2016,-0.5492638777732931,-0.6470284292855281,0.15685312319610256,1
001C0000016alMpIAI,Urbane & Gallant,Certified,Consumer Products & Services,United States,Wholesale/Retail,Unknown,2017,83.8,41.1,0.0,22.6,20.1,0.0,1,2015,2.1583367687198973,1.440064096120855,2.8049956356298047,0
001C0000016alMpIAI,Urbane & Gallant,Certified,Consumer Products & Services,United States,Wholesale/Retail,Unknown,2015,112.7,63.9,0.0,27.6,21.2,0.0,2,2015,2.009366914132523,2.9193553860931223,2.7664172000010696,0
001C0000015R4khIAC,Tree Planet,Certified,Business Products & Services,Korea (Republic Of),Service With Minor Environmental Footprint,10-49,2018,91.0,20.1,0.0,34.1,12.8,23.9,1,2013,-0.5010584906531023,-1.4013660598963857,-0.9110486133362231,1
001C0000015R4khIAC,Tree Planet,Certified,Business Products & Services,Korea (Republic Of),Service With Minor Environmental Footprint,1-9,2014,100.2,27.0,0.0,28.9,14.2,30.1,2,2013,-1.2107739483031577,-0.06377756124136916,-1.139950498739303,1
001C0000015R4khIAC,Tree Planet,Certified,Business Products & Services,Korea (Republic Of),Service With Minor Environmental Footprint,1-9,2013,109.7,36.6,0.0,30.7,13.1,29.3,3,2013,-1.2886339127415873,0.817730681138479,-1.227253574028026,1
001C000001QziJAIAZ,Olly Pbc,Certified,Consumer Products & Services,United States,Wholesale/Retail,10-49,2017,80.3,24.5,0.0,9.7,17.9,28.2,1,2017,1.9281566329030952,-0.26233084879419594,-0.38193671790156863,0
0013b00001p0kNzAAI,Intuitive Digital,Certified,Business Products & Services,United States,Service With Minor Environmental Footprint,10-49,2019,82.3,17.4,5.4,9.4,16.9,33.0,1,2020,-0.9873363825236082,-2.142288891720397,-0.7592955322087062,1
001C000001ZyrcpIAB,Edizioni Green Planner Srl Benefit,Certified,Media,Italy,Service With Minor Environmental Footprint,Unknown,2017,82.1,47.1,0.0,27.9,7.1,0.0,1,2017,0.3581449648123339,-0.9019434770200057,3.1871311293445803,1
0013b00001o4EEFAA2,Apollo Energy,Certified,Energy & Environmental Services,United States,Service With Significant Environmental Footprint,10-49,2020,124.4,22.3,4.4,44.9,15.1,37.5,1,2021,2.160265099944993,-1.349447473213846,-2.663630507270762,0
0013b00001nEP4TAAW,Harper + Scott,Certified,Business Products & Services,United States,Wholesale/Retail,10-49,2019,81.7,19.3,4.3,14.9,16.7,26.3,1,2020,0.8456696299958962,-1.430012124568949,-0.17256681417665062,0
001C000001C4EIPIA3,Target-Ddi,Certified,Business Products & Services,Chile,Service With Minor Environmental Footprint,10-49,2016,91.0,48.3,6.1,3.8,11.3,21.5,1,2014,-1.0289809943478079,-0.8575926618020708,0.4317090534273724,1
001C000001C4EIPIA3,Target-Ddi,Certified,Business Products & Services,Chile,Service With Minor Environmental Footprint,50-249,2014,94.6,49.9,5.6,7.6,12.4,18.9,2,2014,-1.015985403546889,0.2472616656998211,0.16163108480971877,1
0013b00001rFRJVAA4,Fuel10K Ltd,Certified,Consumer Products & Services,United Kingdom,Wholesale/Retail,10-49,2020,86.8,16.6,4.5,19.0,16.2,30.2,1,2021,2.3217963916968745,-2.6216538730565166,0.008262698135915089,0
001C000001lLqZ5IAK,Ejido Verde,Certified,Energy & Environmental Services,Mexico,Agriculture/Growers,10-49,2020,116.6,38.9,0.0,43.4,14.5,19.7,1,2021,2.8969629777215773,-1.8167904620296957,-0.8627173229383506,0
0013b00001qHDGNAA4,Good Capital Investment Group,Certified,Financial Services,United States,Service With Minor Environmental Footprint,Unknown,2020,96.1,8.9,72.3,4.6,10.0,0.0,1,2020,-2.5297231820461437,-0.6926587716594781,2.4861984664116363,1
001C00000142FX1IAM,Singularity University,Certified,Education & Training Services,United States,Service With Minor Environmental Footprint,50-249,2018,94.2,16.0,21.9,9.6,20.3,26.3,1,2016,-1.4543718438474131,-0.9889959461374762,-0.8030148128339106,1
001C00000142FX1IAM,Singularity University,Certified,Education & Training Services,United States,Service With Minor Environmental Footprint,50-249,2016,105.9,27.7,22.3,7.2,18.1,30.6,2,2016,-1.6968839388476975,0.0168863579513646,-1.065815524474043,1
0013b00001p3niuAAA,Standing On Giants,Certified,Business Products & Services,United Kingdom,Service With Minor Environmental Footprint,10-49,2019,81.7,19.7,2.1,8.8,14.7,36.2,1,2020,-0.8714379679584471,-3.5082494682347547,-0.4771311793838351,1
0013b00001qEVsBAAW,Borough Broth Company Limited,Certified,Consumer Products & Services,United Kingdom,Manufacturing,10-49,2019,81.1,23.3,1.2,24.7,5.9,25.7,1,2021,2.940177301793513,-2.5789689288778046,-0.10658516573382457,0
001C0000019MHVQIA4,Keepcup,Certified,Consumer Products & Services,Australia,Wholesale/Retail,50-249,2019,107.4,21.0,8.0,44.3,9.0,24.9,1,2014,2.9088456743420528,-0.32413014667374307,0.05276677069281516,0
001C0000019MHVQIA4,Keepcup,Certified,Consumer Products & Services,Australia,Wholesale/Retail,10-49,2016,93.4,23.8,0.0,39.1,8.4,22.1,2,2014,2.683277412243323,0.3132497332102514,-0.13814620982721196,0
001C0000019MHVQIA4,Keepcup,Certified,Consumer Products & Services,Australia,Wholesale/Retail,10-49,2014,83.8,23.2,0.0,31.3,7.1,22.0,3,2014,2.3579871493180296,0.9242518813510195,-0.37533535143014346,0
0013b00001qFm08AAC,Lazarus Naturals,Certified,Agriculture,United States,Agriculture/Growers,50-249,2020,88.3,17.3,3.6,32.1,14.2,20.9,1,2020,2.9767858480148193,-1.5021208472347325,-0.7196104885199034,0
001C000001de8UuIAI,Fundapps,Certified,Business Products & Services,United Kingdom,Service With Minor Environmental Footprint,10-49,2018,83.8,24.2,0.0,8.7,14.6,36.1,1,2018,-0.9292754095144055,-2.979519462528327,-0.5519610402203181,1
0013b00001qFYJ8AAO,Sessions Hairdressing,Certified,Consumer Products & Services,Australia,Service With Significant Environmental Footprint,1-9,2020,81.1,17.1,2.9,24.6,14.8,21.4,1,2020,2.1173325735525963,-2.3128870893161158,0.07355093576629294,0
0013b00001p0W44AAE,Anthesis Group,Certified,Unknown,United Kingdom,Service With Minor Environmental Footprint,250-999,2019,82.5,15.5,16.3,16.5,8.4,25.7,2,2020,-0.12233424399800787,-3.644206782977602,0.13874382751311787,1
001C000001afYnzIAE,Urbani Limitada,Certified,Building,Chile,Service With Significant Environmental Footprint,10-49,2017,84.5,18.7,29.5,9.2,7.9,19.2,1,2017,0.8490710411983072,-1.422743698769143,-1.1073193104385872,0
001C000001ix7DtIAI,Rh Performances,Certified,Business Products & Services,France,Service With Minor Environmental Footprint,10-49,2019,83.6,23.1,7.8,8.3,11.5,32.7,1,2019,-0.8603480443433127,-3.2051318996683498,-0.387244835610869,1
0013b00001nEiQBAA0,Sciencemagic.Inc,Certified,Business Products & Services,United Kingdom,Service With Minor Environmental Footprint,50-249,2019,80.4,21.1,1.2,11.6,17.4,28.9,1,2020,-0.6709552263547126,-3.2077073982306215,-0.1774311075890816,1
0013b00001p27LtAAI,Chia Sisters,Certified,Consumer Products & Services,New Zealand,Manufacturing,1-9,2019,118.6,25.5,4.5,55.7,10.3,22.5,1,2021,3.4426950002621983,-1.5677429479474467,-0.059278705835087875,0
0013b00001rFimjAAC,Los Goodfellas,Certified,Business Products & Services,Colombia,Service With Minor Environmental Footprint,10-49,2020,87.0,14.5,12.8,8.6,20.6,30.3,1,2020,-0.991599657118326,-3.0301641058791544,-0.6025248594686432,1
001C000001Q50DCIAZ,Ediciones Sm Chile,Certified,Education & Training Services,Chile,Wholesale/Retail,50-249,2016,100.8,30.5,20.7,17.8,10.6,21.2,1,2016,0.7968804311884619,-0.36840226096882017,0.37170135649653036,0
001C000001ghTb0IAE,21Gramos,Certified,Business Products & Services,Spain,Service With Minor Environmental Footprint,1-9,2018,82.2,24.0,5.9,7.6,10.7,33.8,1,2019,-0.9843008945959172,-2.6822322622090238,0.5807350045490799,1
001C000001JdKv0IAF,Bellroy,Certified,Consumer Products & Services,Australia,Manufacturing,10-49,2017,83.6,21.9,0.0,30.8,8.0,22.9,1,2015,2.7470016605393055,-0.935389019140066,-0.3256263282293318,0
001C000001JdKv0IAF,Bellroy,Certified,Consumer Products & Services,Australia,Manufacturing,10-49,2015,86.2,23.4,0.0,36.5,7.0,19.3,2,2015,2.7413541191796247,0.022883627871737356,-0.5503591749570207,0
001C000001ivCHMIA2,Raw Travel,Certified,"Restaurant, Hospitality & Travel",Australia,Service With Minor Environmental Footprint,10-49,2018,80.7,27.2,0.0,8.9,15.1,29.3,1,2019,-0.19596051137612294,-2.595589991805601,-0.15742698493329463,1
0013b00001onzJ8AAI,Compass Creative Studio Pty Ltd,Certified,Business Products & Services,Australia,Service With Minor Environmental Footprint,1-9,2019,87.3,41.8,7.2,4.2,7.7,26.3,1,2019,-1.010287564266998,-2.4217747378320738,1.3029793265496166,1
0013b00001p2gXuAAI,Fluitec,Certified,Business Products & Services,Belgium,Manufacturing,10-49,2019,80.1,16.2,3.2,21.7,11.0,27.8,1,2021,1.7208127597214753,-2.98167250898552,-0.7891819622279304,0
0013b00001qFdqWAAS,Raglan Food Co Limited,Certified,Consumer Products & Services,New Zealand,Manufacturing,10-49,2020,96.7,21.2,3.9,42.7,7.6,21.2,1,2021,3.517827395033908,-2.2802184214743,-0.1600009904332259,0
0013b00001ooM6rAAE,Five V Capital,Certified,Financial Services,Australia,Service With Minor Environmental Footprint,1-9,2019,87.0,16.1,21.1,6.1,16.0,27.4,1,2021,-1.6466173790743095,-2.8237122249396633,0.22818349941238786,1
001C0000018QnaoIAC,Green Glass,Certified,Business Products & Services,Chile,Manufacturing,1-9,2017,80.8,17.0,0.0,31.5,11.4,20.9,1,2014,1.2742233353142345,-0.9320168942794879,-0.39132257942914994,0
001C0000018QnaoIAC,Green Glass,Certified,Business Products & Services,Chile,Manufacturing,Unknown,2014,81.4,46.0,0.0,27.6,7.7,0.0,2,2014,1.2635502455163428,1.2325698320362037,2.3586915436211653,0
0013b00001nEOTDAA4,Egremont Group,Certified,Business Products & Services,United Kingdom,Service With Minor Environmental Footprint,10-49,2019,80.9,17.9,3.9,8.6,8.9,41.3,1,2020,-0.7754514336648066,-3.6061806647299632,-0.5926631853608669,1
001C000001R2JJ7IAN,Wheb Asset Management Llp,Certified,Financial Services,United Kingdom,Service With Minor Environmental Footprint,1-9,2018,125.4,12.7,57.2,7.5,19.1,28.8,1,2016,-2.907170316710498,-1.714890888171232,-0.608483734635906,1
001C000001R2JJ7IAN,Wheb Asset Management Llp,Certified,Financial Services,United Kingdom,Service With Minor Environmental Footprint,1-9,2016,106.6,13.2,55.6,3.7,12.3,21.8,2,2016,-2.833875868017238,-1.0650872692706213,-0.390108389154785,1
0013b00001p2zUVAAY,Love Struck (F&B) Ltd,Certified,Consumer Products & Services,United Kingdom,Wholesale/Retail,1-9,2019,80.1,13.8,2.4,22.7,12.9,28.2,1,2020,2.336184898295781,-2.249255495578413,0.3775951120336668,0
0018000000PSEV5AAP,Ben And Jerry'S,Certified,Consumer Products & Services,United States,Manufacturing,250-999,2016,110.0,44.1,0.0,22.2,16.7,27.0,1,2012,2.3894838917397316,1.0848850233628349,-0.8889948702281885,0
0018000000PSEV5AAP,Ben And Jerry'S,Certified,Consumer Products & Services,United States,Manufacturing,250-999,2014,101.2,34.4,0.0,25.1,15.4,26.2,2,2012,2.3108373938568243,1.6983943685664906,-1.4176033767225416,0
0018000000PSEV5AAP,Ben And Jerry'S,Certified,Consumer Products & Services,United States,Manufacturing,250-999,2012,86.7,21.9,0.0,24.5,15.2,24.9,3,2012,2.1251750586103775,2.183582971379958,-1.9576323791325254,0
0013b00001qEipkAAC,Unigoma,Certified,Business Products & Services,Argentina,Manufacturing,10-49,2019,117.7,18.7,2.6,20.9,16.3,59.0,1,2020,1.1424269357045287,-2.5088390461927017,-1.833805580656019,0
0013b00001qoibcAAA,Stride Treglown,Certified,Building,United Kingdom,Service With Minor Environmental Footprint,250-999,2020,101.5,14.5,3.6,33.8,11.2,38.2,1,2021,0.8826644395847804,-3.3105126885350042,-1.349354855538568,0
001C000000yiQ9eIAE,Lumni Chile,Certified,Financial Services,Chile,Service With Minor Environmental Footprint,1-9,2016,92.2,11.1,41.4,3.4,15.3,21.0,1,2012,-2.4364188691911437,-0.6092418939876735,-0.45045172891565766,1
001C000000yiQ9eIAE,Lumni Chile,Certified,Financial Services,Chile,Service With Minor Environmental Footprint,1-9,2015,109.6,10.6,48.3,4.8,20.1,25.7,2,2012,-2.969215202997932,0.18568294826842793,-1.1588241757617646,1
001C000000yiQ9eIAE,Lumni Chile,Certified,Financial Services,Chile,Service With Minor Environmental Footprint,1-9,2013,99.3,14.6,49.8,4.2,10.2,20.5,3,2012,-2.8235539226904236,1.001224815030776,-0.9173766065971988,1
001C000000yiQ9eIAE,Lumni Chile,Certified,Financial Services,Chile,Service With Minor Environmental Footprint,1-9,2012,89.2,10.0,50.9,4.3,10.1,13.9,4,2012,-2.929841504424635,1.5465404631903898,-1.0010235182085403,1
001C000001Q5WfJIAV,Yoni,Certified,Consumer Products & Services,Netherlands,Wholesale/Retail,1-9,2017,80.0,19.7,6.2,25.4,10.0,18.7,1,2018,2.4053740075466195,-1.0011797358960763,0.7768932112299907,0
0013b00001p2jBEAAY,Humanity Financial Management Inc.,Certified,Business Products & Services,Canada,Service With Minor Environmental Footprint,1-9,2019,87.3,29.0,18.2,4.4,12.6,22.8,1,2020,-1.3234802597013198,-2.3468194925468544,0.7001839158500045,1
001C000001VbCrWIAV,Impossible Labs,Certified,Business Products & Services,United Kingdom,Service With Minor Environmental Footprint,10-49,2019,81.9,16.7,10.1,6.9,17.9,30.1,1,2016,-1.309854281572656,-2.882205184355664,-0.5227954742267306,1
001C000001VbCrWIAV,Impossible Labs,Certified,Business Products & Services,United Kingdom,Service With Minor Environmental Footprint,10-49,2016,80.2,23.8,6.3,6.6,9.0,34.5,2,2016,-1.2006400360469929,-1.9111740404929483,-0.7792571193060209,1
0013b00001p454EAAQ,Harris Woolf Almonds,Certified,Agriculture,United States,Manufacturing,50-249,2019,87.8,35.0,2.2,15.6,14.1,20.8,1,2020,2.539046141587835,-1.1630124635695223,-0.3618080327692206,0
